Pair=USDJPY;Period=H1;Days=720;Shift=1;Bars=17280;Time=20171231_233725
no;Open;High;Low;Close;RSI;MFI;BB.2s;BB.1s;BB.main;BB.-1s;BB.-2s;Diff;High/Low;datetime
79;113.233;113.264;113.214;113.22;41.84762406743903;41.42251327333575;113.3545770173286;113.3218135086642;113.2890499999998;113.2562864913355;113.2235229826711;-0.01300000000000523;0.04999999999999716;2017.12.26 17:00;2017.12.27 00:00
80;113.266;113.282;113.227;113.233;42.9974656628619;44.8537126634571;113.3497138244249;113.3209569122124;113.2921999999998;113.2634430877873;113.2346861755748;-0.03300000000000125;0.05499999999999261;2017.12.26 16:00;2017.12.26 23:00
81;113.299;113.3;113.261;113.267;46.14796143077997;49.44817747941767;113.3456944004777;113.3202472002388;113.2947999999998;113.2693527997609;113.243905599522;-0.03200000000001069;0.03900000000000148;2017.12.26 15:00;2017.12.26 22:00
82;113.307;113.312;113.291;113.299;49.38322890433457;52.29789710811227;113.3452080638605;113.3204040319302;113.2955999999998;113.2707959680695;113.2459919361392;-0.007999999999995566;0.0210000000000008;2017.12.26 14:00;2017.12.26 21:00
83;113.304;113.311;113.29;113.308;50.32591142809726;52.97137143059327;113.344711638729;113.3196308193644;113.2945499999998;113.2694691806352;113.2443883612706;0.004000000000004889;0.0210000000000008;2017.12.26 13:00;2017.12.26 20:00
84;113.304;113.321;113.303;113.303;49.8203608548398;54.88167523358898;113.3456588749627;113.3203044374813;113.2949499999998;113.2695955625184;113.244241125037;-0.001000000000004775;0.01800000000000068;2017.12.26 12:00;2017.12.26 19:00
85;113.292;113.31;113.282;113.301;49.6255430372553;53.16852213042979;113.3450790902;113.3191395450999;113.2931999999998;113.2672604548997;113.2413209097996;0.009000000000000341;0.0280000000000058;2017.12.26 11:00;2017.12.26 18:00
86;113.294;113.299;113.283;113.287;48.29050676011883;52.04540166760267;113.3460606722644;113.3198803361321;113.2936999999998;113.2675196638675;113.2413393277352;-0.006999999999990791;0.01600000000000534;2017.12.26 10:00;2017.12.26 17:00
87;113.329;113.33;113.284;113.293;48.81725472016442;61.56658010553097;113.3459962119852;113.3195981059925;113.2931999999998;113.2668018940072;113.2404037880145;-0.03599999999998715;0.04599999999999227;2017.12.26 09:00;2017.12.26 16:00
88;113.288;113.33;113.28;113.329;52.05369436884232;63.26026041916308;113.3459181450994;113.3189090725496;113.2918999999998;113.26489092745;113.2378818549002;0.04099999999999682;0.04999999999999716;2017.12.26 08:00;2017.12.26 15:00
89;113.297;113.303;113.282;113.289;48.44592957315913;63.79769624687466;113.3429556727673;113.3169528363836;113.2909499999998;113.2649471636161;113.2389443272323;-0.007999999999995566;0.0210000000000008;2017.12.26 07:00;2017.12.26 14:00
90;113.284;113.303;113.274;113.296;49.05964797950253;64.59391304745324;113.3427103043302;113.316505152165;113.2902999999998;113.2640948478346;113.2378896956695;0.01200000000000045;0.02899999999999636;2017.12.26 06:00;2017.12.26 13:00
91;113.31;113.317;113.275;113.285;48.07771026267358;62.09646272976622;113.3423017474084;113.3154758737041;113.2886499999998;113.2618241262955;113.2349982525912;-0.02500000000000568;0.04199999999998738;2017.12.26 05:00;2017.12.26 12:00
92;113.326;113.335;113.275;113.311;50.25284896686223;59.80344276744287;113.3444384391406;113.3171942195702;113.2899499999998;113.2627057804294;113.235461560859;-0.01499999999998636;0.05999999999998806;2017.12.26 04:00;2017.12.26 11:00
93;113.344;113.349;113.304;113.325;51.4434087596182;72.27520248215345;113.3592223426897;113.3262361713448;113.2932499999998;113.2602638286548;113.2272776573099;-0.01899999999999125;0.04500000000000171;2017.12.26 03:00;2017.12.26 10:00
94;113.31;113.35;113.262;113.345;53.15239646742388;61.84722925413612;113.369923140786;113.3328615703929;113.2957999999998;113.2587384296068;113.2216768592137;0.03499999999999659;0.08799999999999386;2017.12.26 02:00;2017.12.26 09:00
95;113.298;113.331;113.271;113.309;50.3308167158343;59.35059186975307;113.3786867036639;113.3382183518319;113.2977499999998;113.2572816481678;113.2168132963358;0.01099999999999568;0.06000000000000227;2017.12.26 01:00;2017.12.26 08:00
96;113.265;113.308;113.239;113.299;49.52863810356354;58.13946347649539;113.3880111933104;113.3444555966551;113.3008999999998;113.2573444033445;113.2137888066892;0.03400000000000603;0.06900000000000261;2017.12.26 00:00;2017.12.26 07:00
97;113.258;113.288;113.221;113.224;42.96558497463545;53.19861180246128;113.3944309582637;113.3491404791318;113.3038499999998;113.2585595208679;113.213269041736;-0.03399999999999181;0.06699999999999307;2017.12.25 09:00;2017.12.25 16:00
98;113.28;113.3;113.215;113.258;45.51447869941574;56.49689083883121;113.3973798242364;113.3541399121181;113.3108999999998;113.2676600878815;113.2244201757632;-0.02200000000000557;0.08499999999999375;2017.12.25 08:00;2017.12.25 15:00
99;113.291;113.31;113.276;113.283;47.48211937338414;53.09117759500131;113.3996145239705;113.3574822619852;113.3153499999998;113.2732177380145;113.2310854760292;-0.007999999999995566;0.03400000000000603;2017.12.25 07:00;2017.12.25 14:00
100;113.283;113.297;113.279;113.285;47.63863912770326;48.49834938621462;113.40738135904;113.3637656795199;113.3201499999998;113.2765343204797;113.2329186409596;0.001999999999995339;0.01800000000000068;2017.12.25 06:00;2017.12.25 13:00
